patric_id						KO					COG	COG_function
fig|31899.10.peg.1835|SAMN05216182_1625	521460.Athe_1347	4.00E-174	571.4	YLMH	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009523,GO:0009579,GO:0016020,GO:0030075,GO:0030096,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944"			bactNOG[38]	"05DBK@bactNOG,0ETW2@cloNOG,0NEDE@firmNOG,COG2302@NOG"	05DBK|8.98723304705e-72|244.372634888	J	s4 domain protein
fig|31899.10.peg.1836|SAMN05216182_1626	521460.Athe_1348	5.20E-93	302.4	DIVIVA	"GO:0000910,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0007049,GO:0008150,GO:0009987,GO:0022402,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0051301"	K04074		bactNOG[38]	"05MMF@bactNOG,0EU80@cloNOG,0NKY7@firmNOG,COG3599@NOG"	05MMF|2.75322487131e-52|180.659317017	D	Cell division protein DIVIVA
fig|31899.10.peg.1837|SAMN05216182_1627	521460.Athe_1349	0	2154	ILES	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01870		bactNOG[38]	"05C07@bactNOG,0EPWC@cloNOG,0ND6T@firmNOG,COG0060@NOG"	05C07|0.0|1128.39624023	J	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)"
fig|31899.10.peg.1838|SAMN05216182_1628	521460.Athe_1350	2.10E-234	773.3	AROB	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K01524,K01735,K13829"	"DHQS,SHKK"	bactNOG[38]	"05D49@bactNOG,0EP67@cloNOG,0NE7I@firmNOG,COG0337@NOG"	05D49|2.95432460794e-110|372.874511719	E	3-dehydroquinate synthase
fig|31899.10.peg.1841|SAMN05216182_1630	632292.Calhy_1374	6.60E-144	464.5					bactNOG[38]	"069RZ@bactNOG,0EXZI@cloNOG,0NS3E@firmNOG,0ZEVQ@NOG"	069RZ|3.59754146234e-78|265.89352417	S	NA
fig|31899.10.peg.1842|SAMN05216182_1631	521460.Athe_1353	6.00E-281	919.2					bactNOG[38]	"0771D@bactNOG,0F2AP@cloNOG,0NYSR@firmNOG,0ZC3Y@NOG"	0771D|1.19745021226e-237|791.265808105	S	NA
fig|31899.10.peg.1843|SAMN05216182_1632	521460.Athe_1354	1.20E-76	246.5					bactNOG[38]	"05IKW@bactNOG,0EWDU@cloNOG,0NRQA@firmNOG,COG3682@NOG"	05IKW|8.97663404111e-38|132.046005249	K	Transcriptional regulator
fig|31899.10.peg.1844|SAMN05216182_1633	521460.Athe_1355	0	1167					bactNOG[38]	"089E5@bactNOG,0F5Q8@cloNOG,0P4IY@firmNOG,COG4219@NOG"	089E5|3.96016610074e-246|820.132324219	"K, T"	Inherit from COG: Peptidase m56
fig|31899.10.peg.1845|SAMN05216182_1634	351627.Csac_1917	4.70E-254	829.4					bactNOG[38]	"07J17@bactNOG,0F3UK@cloNOG,0P1JW@firmNOG,0ZNRG@NOG"	07J17|6.07188577334e-176|587.365783691	S	NA
fig|31899.10.peg.1849|SAMN05216182_1638	521460.Athe_1360	7.10E-232	763.5	MTNA	"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006520,GO:0006555,GO:0006575,GO:0006725,GO:0006732,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009116,GO:0009119,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0019284,GO:0019509,GO:0019752,GO:0033353,GO:0034641,GO:0042278,GO:0043094,GO:0043102,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0044710,GO:0044711,GO:0046128,GO:0046394,GO:0046483,GO:0046500,GO:0046523,GO:0051186,GO:0055086,GO:0071265,GO:0071267,GO:0071704,GO:0072521,GO:1901135,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901657"	K08963	MTRI	bactNOG[38]	"05C35@bactNOG,0EPQ8@cloNOG,0NED6@firmNOG,COG0182@NOG"	05C35|9.63963657976e-174|583.192687988	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)
fig|31899.10.peg.1850|SAMN05216182_1639	644283.Micau_1029	1.10E-88	289.2	MTNP		K00772		bactNOG[38]	"00D3M@actNOG,07USC@bactNOG,COG0005@NOG"	07USC|2.16330261277e-106|357.841186523	F	"Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S- adenosylmethionine. Has broad substrate specificity with 6- aminopurine nucleosides as preferred substrates (By similarity)"
fig|31899.10.peg.1851|SAMN05216182_1640	521460.Athe_1362	2.70E-60	192.1					bactNOG[38]	"05VX5@bactNOG,0EVHM@cloNOG,0NNN9@firmNOG,122FY@NOG"	05VX5|3.22237485837e-34|120.133262634	S	NA
fig|31899.10.peg.1852|SAMN05216182_1641	521460.Athe_1363	1.20E-137	449.1	DKSA		K06204		bactNOG[38]	"07YXS@bactNOG,0ER9G@cloNOG,0NK69@firmNOG,COG1734@NOG"	07YXS|5.21070870408e-67|229.221786499	K	"Transcriptional regulator, TraR DksA family"
fig|31899.10.peg.1853|SAMN05216182_1642	521460.Athe_1364	0	2701.7			K07114		bactNOG[38]	"06D2E@bactNOG,0EX1X@cloNOG,0NR1S@firmNOG,COG2304@NOG"	06D2E|2.55689692488e-122|412.701904297	S	"von Willebrand factor, type A"
fig|31899.10.peg.1860|SAMN05216182_1649	521460.Athe_1371	2.80E-94	308.9	LSPA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K03101		bactNOG[38]	"05M02@bactNOG,0EVF1@cloNOG,0NKWF@firmNOG,COG0597@NOG"	05M02|2.44523082699e-45|158.275665283	"M, U"	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)
fig|31899.10.peg.1861|SAMN05216182_1650	521460.Athe_1372	3.80E-202	666.1	RLUD	"GO:0000027,GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022607,GO:0022613,GO:0022618,GO:0031118,GO:0034470,GO:0034622,GO:0034641,GO:0034660,GO:0042254,GO:0042255,GO:0042273,GO:0043170,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044763,GO:0046483,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:1901360"	K06180	PSUDS	bactNOG[38]	"05C34@bactNOG,0EPCX@cloNOG,0NDX5@firmNOG,COG0564@NOG"	05C34|1.2946893493e-140|473.386077881	J	Pseudouridine synthase
fig|31899.10.peg.1863|SAMN05216182_1651	521460.Athe_1373	6.80E-109	356.7	PYRR	"GO:0000287,GO:0003674,GO:0003824,GO:0004422,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006144,GO:0006163,GO:0006164,GO:0006166,GO:0006168,GO:0006177,GO:0006178,GO:0006188,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016757,GO:0016763,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0032261,GO:0032263,GO:0032264,GO:0034641,GO:0034654,GO:0042278,GO:0042440,GO:0042451,GO:0042455,GO:0043094,GO:0043096,GO:0043101,GO:0043167,GO:0043169,GO:0043173,GO:0043174,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044710,GO:0046037,GO:0046040,GO:0046083,GO:0046084,GO:0046098,GO:0046099,GO:0046100,GO:0046112,GO:0046128,GO:0046129,GO:0046148,GO:0046390,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659"	K02825	UPPRT	bactNOG[38]	"08UK1@bactNOG,0ERXB@cloNOG,0NI48@firmNOG,COG2065@NOG"	08UK1|8.95917250655e-80|270.770355225	F	Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant (By similarity)
fig|31899.10.peg.1864|SAMN05216182_1652	521460.Athe_1374	1.70E-291	963	PYRP		K02824	URAt2	bactNOG[38]	"05C2W@bactNOG,0EPI9@cloNOG,0NE7S@firmNOG,COG2233@NOG"	05C2W|1.26395441592e-149|502.35333252	F	permease
fig|31899.10.peg.1865|SAMN05216182_1653	521460.Athe_1375	1.90E-201	663.6	PYRB	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K00609	ASPCT	bactNOG[38]	"05CXT@bactNOG,0ENP7@cloNOG,0NDPX@firmNOG,COG0540@NOG"	05CXT|5.02838192564e-132|444.23651123	F	aspartate transcarbamylase
fig|31899.10.peg.1866|SAMN05216182_1654	521460.Athe_1376	2.70E-289	952	PYRC	"GO:0008150,GO:0040007"	K01465	DHORTS	bactNOG[38]	"05CD3@bactNOG,0ENN7@cloNOG,0NDCU@firmNOG,COG0044@NOG"	0ENN7|4.42456973827e-173|578.417602539	F	dihydroorotase
fig|31899.10.peg.1867|SAMN05216182_1655	521460.Athe_1377	1.40E-204	672.8	PYRF		"K01591,K13421"	OMPDC	bactNOG[38]	"05SKN@bactNOG,0ENW9@cloNOG,0NDI9@firmNOG,COG0284@NOG"	05SKN|2.34248589192e-86|293.383758545	F	orotidine 5''-phosphate decarboxylase
fig|31899.10.peg.1868|SAMN05216182_1656	521460.Athe_1378	0	2366.1	CARB		"K01955,K01990"	CBPS	bactNOG[38]	"05CU6@bactNOG,0ENSX@cloNOG,0NDUK@firmNOG,COG0458@NOG"	05CU6|0.0|1843.70703125	F	carbamoyl-phosphate synthetase ammonia chain
fig|31899.10.peg.1869	521460.Athe_1379	4.20E-74	242.3	PYRK	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K02823	"DHORD5,DHORDi"	bactNOG[38]	"05DF0@bactNOG,0ENZW@cloNOG,0NFPR@firmNOG,COG0543@NOG"	05DF0|3.49544916774e-31|111.222564697	C	Responsible for channeling the electrons from the oxidation of dihydroorotate from the FMN redox center in the PyrD type B subunit to the ultimate electron acceptor NAD( ) (By similarity)
fig|31899.10.peg.1870	521460.Athe_1379	6.10E-76	247	PYRK	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K02823	"DHORD5,DHORDi"	bactNOG[38]	"05DF0@bactNOG,0ENZW@cloNOG,0NFPR@firmNOG,COG0543@NOG"	05DF0|2.5582817171e-37|131.411468506	C	Responsible for channeling the electrons from the oxidation of dihydroorotate from the FMN redox center in the PyrD type B subunit to the ultimate electron acceptor NAD( ) (By similarity)
fig|31899.10.peg.1871|SAMN05216182_1658	521460.Athe_1380	1.20E-195	643.2	PYRD	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0016020,GO:0044424,GO:0044464,GO:0071944"	"K00226,K00254,K02823,K17828"	"DHORD5,DHORDi"	bactNOG[38]	"07RY0@bactNOG,0EQ3D@cloNOG,0NDT3@firmNOG,COG0167@NOG"	07RY0|3.57181878187e-133|448.332458496	F	Catalyzes the conversion of dihydroorotate to orotate (By similarity)
fig|31899.10.peg.1872|SAMN05216182_1659	720554.Clocl_2388	3.00E-76	245.4			"K15634,K15640"		bactNOG[38]	"07XX1@bactNOG,0F6QC@cloNOG,0P2Y4@firmNOG,COG0406@NOG"	07XX1|3.41651961772e-75|255.504333496	G	Phosphoglycerate mutase
fig|31899.10.peg.1873|SAMN05216182_1660	521460.Athe_1382	1.30E-127	415	PYRE		K00762	ORPT	bactNOG[38]	"07XPQ@bactNOG,0ES12@cloNOG,0P2YD@firmNOG,COG0461@NOG"	07XPQ|1.55848545731e-88|297.975799561	F	"Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP) (By similarity)"
fig|31899.10.peg.1875|SAMN05216182_1662	521460.Athe_1384	1.30E-149	492	LIVF		K01996		bactNOG[38]	"08IV0@bactNOG,0F76Y@cloNOG,0P6DX@firmNOG,COG0410@NOG"	08IV0|3.71913985808e-124|418.619537354	E	"ABC, transporter"
fig|31899.10.peg.1876|SAMN05216182_1663	521460.Athe_1385	3.70E-168	554	LIVG		"K01995,K01998"		bactNOG[38]	"05C0Z@bactNOG,0EPEJ@cloNOG,0NDGK@firmNOG,COG0411@NOG"	05C0Z|5.22274235798e-131|441.645111084	E	ABC transporter
fig|31899.10.peg.1877|SAMN05216182_1664	521460.Athe_1386	9.50E-192	629.3	LIVM		K01998		bactNOG[38]	"05CF8@bactNOG,0EQ3N@cloNOG,0NEFY@firmNOG,COG4177@NOG"	0EQ3N|1.71327873069e-117|395.022827148	E	Branched-chain amino acid ABC transporter permease protein
fig|31899.10.peg.1878	658659.HMPREF0983_02240	3.50E-76	243.2	LIVH		K01997		bactNOG[38]	"05C32@bactNOG,0I6TE@eryNOG,0NDRS@firmNOG,COG0559@NOG"	0I6TE|1.86644889147e-75|257.065124512	E	"branched-chain amino acid ABC transporter, permease protein"
fig|31899.10.peg.1879	518637.EUBIFOR_00965	1.90E-56	178.9	LIVH		K01997		bactNOG[38]	"05C32@bactNOG,0I6TE@eryNOG,0NDRS@firmNOG,COG0559@NOG"	0I6TE|3.0560418569e-57|197.282012939	E	"branched-chain amino acid ABC transporter, permease protein"
fig|31899.10.peg.1880|SAMN05216182_1666	521460.Athe_1388	2.00E-251	827	LIVJ		"K01999,K11959"		bactNOG[38]	"05CP9@bactNOG,0EP4E@cloNOG,0NEC7@firmNOG,COG0683@NOG"	0NEC7|2.29302461937e-141|473.957458496	E	amino acid abc
fig|31899.10.peg.1881|SAMN05216182_1667	521460.Athe_1389	5.70E-120	388.7			K09126		bactNOG[38]	"08UHP@bactNOG,0ESDV@cloNOG,0NI3I@firmNOG,COG1751@NOG"	08UHP|3.90696884276e-86|290.317932129	S	"Pyruvate kinase, alpha/beta domain"
fig|31899.10.peg.1882|SAMN05216182_1668	521460.Athe_1390	2.70E-217	714.6	XERC	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K03733		bactNOG[38]	"08IYT@bactNOG,0F78A@cloNOG,0P6FM@firmNOG,COG0582@NOG"	08IYT|1.87815733827e-115|389.684082031	L	"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)"
fig|31899.10.peg.1891	521460.Athe_0252	1.80E-41	131	COMB	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K02022,K12293"		bactNOG[38]	"07VK6@bactNOG,0EPWF@cloNOG,0NDI2@firmNOG,0XX01@NOG"	07VK6|1.4685338446e-14|56.7544822693	U	Transport protein ComB
fig|31899.10.peg.1892	521460.Athe_0252	2.30E-229	752.7	COMB	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K02022,K12293"		bactNOG[38]	"07VK6@bactNOG,0EPWF@cloNOG,0NDI2@firmNOG,0XX01@NOG"	07VK6|9.43453502199e-90|304.502838135	U	Transport protein ComB
fig|31899.10.peg.1893|SAMN05216182_1678	521460.Athe_0327	0	1105.1	COMA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K06147,K06148,K12292"		bactNOG[38]	"08JJA@bactNOG,0F7BY@cloNOG,0P6MC@firmNOG,COG2274@NOG"	0F7BY|2.4370936675e-194|644.274414062	V	Abc transporter
fig|31899.10.peg.1894|SAMN05216182_1679	521460.Athe_1400	6.50E-96	310.7					bactNOG[38]	"05VJ9@bactNOG,0ET83@cloNOG,0NKIU@firmNOG,COG5573@NOG"	05VJ9|2.66263474688e-44|153.455307007	S	PilT protein domain protein
fig|31899.10.peg.1895|SAMN05216182_1680	521460.Athe_1401	1.70E-53	168.2					bactNOG[38]	"05W0K@bactNOG,0EW5M@cloNOG,0NPQE@firmNOG,122N4@NOG"	05W0K|1.65414862729e-41|143.498535156	S	CopG domain protein DNA-binding domain protein
fig|31899.10.peg.1896|SAMN05216182_1681	521460.Athe_1402	0	1083.7	UXAC		K01812	"GUI1,GUI2"	bactNOG[38]	"05D2H@bactNOG,0EPWH@cloNOG,0NEAR@firmNOG,COG1904@NOG"	05D2H|1.60384635348e-209|699.379577637	G	Uronic isomerase
fig|31899.10.peg.1897|SAMN05216182_1682	521460.Athe_1403	2.60E-285	942.2	ENO	"GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0009986,GO:0044424,GO:0044464"	K01689	ENO	bactNOG[38]	"05C70@bactNOG,0EPBK@cloNOG,0NDKN@firmNOG,COG0148@NOG"	05C70|3.50097779911e-235|783.893066406	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
fig|31899.10.peg.1898|SAMN05216182_1683	521460.Athe_1404	0	1177	GPMI	"GO:0003674,GO:0003824,GO:0004619,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005975,GO:0005996,GO:0006006,GO:0006007,GO:0006091,GO:0006096,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016052,GO:0016853,GO:0016866,GO:0016868,GO:0019318,GO:0019320,GO:0030145,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0044723,GO:0044724,GO:0046365,GO:0046537,GO:0046872,GO:0046914,GO:0071704,GO:1901575"	K15633	"DPGM,PGM,PGMT,PGM_1"	bactNOG[38]	"05CJI@bactNOG,0EPQR@cloNOG,0NE4S@firmNOG,COG0696@NOG"	05CJI|1.31557546189e-258|863.163818359	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)
fig|31899.10.peg.1899|SAMN05216182_1684	521460.Athe_1405	0	1428.9	PGK	"GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044424,GO:0044464,GO:0071944"	"K00927,K01803"	"PGK,PGK_1,TPI"	bactNOG[38]	"05BZA@bactNOG,0ENRZ@cloNOG,0ND8W@firmNOG,COG0126@NOG,COG0149@NOG"	05BZA|6.3430579785e-228|762.228759766	G	Phosphoglycerate kinase
fig|31899.10.peg.1900|SAMN05216182_1685	479434.Sthe_1253	2.20E-159	519.7	GAP		K00134	GAPD	bactNOG[38]	"05C17@bactNOG,0D1FS@chloNOG,COG0057@NOG"	0D1FS|3.45716734362e-176|588.178466797	G	"Glyceraldehyde-3-phosphate dehydrogenase, type I"
fig|31899.10.peg.1901|SAMN05216182_1686	521460.Athe_1407	8.00E-216	709.7	CGGR		K05311		bactNOG[38]	"07RHR@bactNOG,0EPHZ@cloNOG,0NEEY@firmNOG,COG2390@NOG"	07RHR|1.29143738035e-107|362.391174316	K	regulatoR
fig|31899.10.peg.1902|SAMN05216182_1687	469596.HMPREF9488_02709	0	1436	PPDK		K01006	PPDK	bactNOG[38]	"08HRN@bactNOG,0I9MA@eryNOG,0P5ZS@firmNOG,COG0574@NOG"	0I9MA|0.0|1637.70068359	G	pyruvate phosphate dikinase
fig|31899.10.peg.1903|SAMN05216182_1688	521460.Athe_1410	0	1017.7	GLYQS	"GO:0003674,GO:0003824,GO:0004812,GO:0004820,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0008152,GO:0016020,GO:0016874,GO:0016875,GO:0016876,GO:0040007,GO:0044424,GO:0044464,GO:0046983,GO:0071944"	K01880		bactNOG[38]	"05D9H@bactNOG,0ENWZ@cloNOG,0NDUJ@firmNOG,COG0423@NOG"	05D9H|3.86752517133e-227|756.019226074	J	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)
fig|31899.10.peg.1904|SAMN05216182_1689	521460.Athe_1411	3.90E-154	504.9	RECO		K03584		bactNOG[38]	"08SAY@bactNOG,0ETHD@cloNOG,0NHK6@firmNOG,COG1381@NOG"	08SAY|6.24803281463e-67|228.455001831	L	Involved in DNA repair and RecF pathway recombination (By similarity)
fig|31899.10.peg.1905|SAMN05216182_1690	521460.Athe_1412	3.40E-196	646.6	ERA	"GO:0000028,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006152,GO:0006163,GO:0006184,GO:0006195,GO:0006464,GO:0006468,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009164,GO:0009166,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009987,GO:0016020,GO:0016043,GO:0016310,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019439,GO:0019538,GO:0019637,GO:0019693,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0034622,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0036211,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0042278,GO:0042454,GO:0043021,GO:0043024,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044267,GO:0044270,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044763,GO:0046039,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0065003,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0072521,GO:0072523,GO:0097159,GO:1901068,GO:1901069,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658"	K03595		bactNOG[38]	"05CWT@bactNOG,0EP98@cloNOG,0ND65@firmNOG,COG1159@NOG"	05CWT|2.89344977071e-134|451.388397217	M	"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)"
fig|31899.10.peg.1906|SAMN05216182_1692	702450.CUW_2766	2.10E-168	550	ALAT	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K00841,K10907"	ALATA_L	bactNOG[38]	"05CHM@bactNOG,0I6N9@eryNOG,0ND77@firmNOG,COG0436@NOG"	0I6N9|9.83067773806e-191|636.29699707	E	Aminotransferase
fig|31899.10.peg.1907|SAMN05216182_1693	521460.Athe_1415	3.30E-104	338.6	ALAR				bactNOG[38]	"08ZB6@bactNOG,0ETBF@cloNOG,0NJEK@firmNOG,COG1522@NOG"	08ZB6|2.04121936196e-71|241.644668579	K	transcriptional regulator AsnC family
fig|31899.10.peg.1910|SAMN05216182_1696	521460.Athe_1418	3.60E-95	311.1	DUT		K01520	DUTPDP	bactNOG[38]	"08Z1K@bactNOG,0EUJY@cloNOG,0NJVX@firmNOG,COG0756@NOG"	08Z1K|7.70008212632e-63|215.40802002	F	"This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)"
fig|31899.10.peg.1911|SAMN05216182_1697	289376.THEYE_A1828	2.40E-79	258.4	PQQL		K07263		bactNOG[38]	"07SW5@bactNOG,COG0612@NOG"	07SW5|3.52625550066e-138|463.979064941	O	Peptidase M16 domain protein
fig|31899.10.peg.1912|SAMN05216182_1698	521460.Athe_1420	6.00E-136	442.9			K03686		bactNOG[38]	"08UE8@bactNOG,0ES86@cloNOG,0NHR3@firmNOG,COG2214@NOG"	08UE8|1.62665604312e-60|205.457977295	O	DnaJ domain protein
fig|31899.10.peg.1913|SAMN05216182_1699	521460.Athe_1421	5.80E-192	628.9					bactNOG[38]	"05CX3@bactNOG,0EPMS@cloNOG,0NE2F@firmNOG,0XPA9@NOG"	05CX3|1.09476318552e-79|270.628631592	S	NA
fig|31899.10.peg.1915|SAMN05216182_1701	545695.TREAZ_2847	1.60E-34	108	ATPC	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02114		bactNOG[38]	"082B5@bactNOG,COG0355@NOG"	082B5|4.05081873186e-45|156.081268311	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
