Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|608506.3.peg.2231	fig|608506.3.peg.2231	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632348.3.peg.2689|Calkro_2529	fig|1121259.3.peg.1488,fig|1214564.3.peg.1289,fig|1387555.3.peg.330,fig|1387557.3.peg.137,fig|31899.10.peg.291|SAMN05216182_0181,fig|351627.8.peg.96|Csac_0076,fig|608506.3.peg.2445|COB47_2266,fig|632292.3.peg.2691|Calhy_2560,fig|632335.8.peg.2797|Calkr_2549,fig|632348.3.peg.2689|Calkro_2529,fig|632516.3.peg.777|CallaDRAFT_0749	CRISPR-associated protein, Csm2 family	0.818181818182	Counter({'CRISPR-associated protein, Csm2 family': 9, 'hypothetical protein': 2})	11	11.0
fig|31899.10.peg.2093	fig|31899.10.peg.2093	ABC transporter related	1.0	Counter({'ABC transporter related': 1})	1	1.0
fig|632516.3.peg.1130|CallaDRAFT_1070	fig|632516.3.peg.1130|CallaDRAFT_1070	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2763	fig|31899.10.peg.2763	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2762	fig|31899.10.peg.2762	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.2627|SAMN05216182_2389	fig|1387557.3.peg.2484,fig|31899.10.peg.2627|SAMN05216182_2389,fig|608506.3.peg.1989|COB47_1857,fig|632348.3.peg.592|Calkro_0556,fig|632518.3.peg.1883|Calow_1770	Putative oxidoreductase	1.0	Counter({'Putative oxidoreductase': 5})	5	5.0
fig|31899.10.peg.2094	fig|31899.10.peg.2094,fig|632348.3.peg.1200	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632335.8.peg.1824|Calkr_1690	fig|1121259.3.peg.1713,fig|1214564.3.peg.825,fig|1387555.3.peg.1818,fig|1387557.3.peg.1937,fig|31899.10.peg.2184|SAMN05216182_1964,fig|351627.8.peg.1831|Csac_1664,fig|608506.3.peg.990|COB47_0909,fig|632292.3.peg.1155|Calhy_1075,fig|632335.8.peg.1824|Calkr_1690,fig|632348.3.peg.1101|Calkro_1039,fig|632516.3.peg.1813|CallaDRAFT_1745,fig|632518.3.peg.1505|Calow_1416	Flagellar hook-associated protein FlgK	1.0	Counter({'Flagellar hook-associated protein FlgK': 12})	12	12.0
fig|608506.3.peg.408|COB47_0363	fig|608506.3.peg.408|COB47_0363	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.2695	fig|632348.3.peg.2695	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632292.3.peg.1163	fig|632292.3.peg.1163	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.1833	fig|1387555.3.peg.1833	Hydroxylamine reductase (EC 1.7.99.1)	1.0	Counter({'Hydroxylamine reductase (EC 1.7.99.1)': 1})	1	1.0
fig|1387555.3.peg.1832	fig|1387555.3.peg.1832	Transposase	1.0	Counter({'Transposase': 1})	1	1.0
fig|1387555.3.peg.1831	fig|1387555.3.peg.1831	Hydroxylamine reductase (EC 1.7.99.1)	1.0	Counter({'Hydroxylamine reductase (EC 1.7.99.1)': 1})	1	1.0
fig|1387555.3.peg.1835	fig|1121259.3.peg.3,fig|1214564.3.peg.46,fig|1387555.3.peg.1835,fig|1387557.3.peg.1404,fig|31899.10.peg.1656|SAMN05216182_1449,fig|351627.8.peg.1789|Csac_1623,fig|608506.3.peg.1472|COB47_1364,fig|632292.3.peg.1652|Calhy_1561,fig|632335.8.peg.1274|Calkr_1154,fig|632348.3.peg.1609|Calkro_1525,fig|632516.3.peg.1306|CallaDRAFT_1249,fig|632518.3.peg.1060|Calow_0983	Hcp transcriptional regulator HcpR (Crp/Fnr family)	1.0	Counter({'Hcp transcriptional regulator HcpR (Crp/Fnr family)': 12})	12	12.0
fig|1387555.3.peg.1838	fig|1121259.3.peg.2497,fig|1214564.3.peg.57,fig|1387555.3.peg.1838,fig|1387557.3.peg.1396,fig|31899.10.peg.1647|SAMN05216182_1443,fig|351627.8.peg.1776|Csac_1613,fig|608506.3.peg.1476|COB47_1368,fig|632292.3.peg.1662|Calhy_1570,fig|632335.8.peg.1266|Calkr_1147,fig|632348.3.peg.1619|Calkro_1532,fig|632516.3.peg.1310|CallaDRAFT_1253,fig|632518.3.peg.1053|Calow_0977	SpoVS-related protein, type 4	1.0	Counter({'SpoVS-related protein, type 4': 12})	12	12.0
fig|608506.3.peg.470	fig|608506.3.peg.470	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|608506.3.peg.475	fig|608506.3.peg.475	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.185	fig|1387555.3.peg.185	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.479	fig|608506.3.peg.479	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.77	fig|608506.3.peg.77	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.187	fig|1214564.3.peg.2142,fig|1387555.3.peg.187,fig|1387557.3.peg.2735,fig|351627.8.peg.2679|Csac_2483,fig|632292.3.peg.496|Calhy_0452,fig|632335.8.peg.2518|Calkr_2326,fig|632348.3.peg.355|Calkro_0330,fig|632516.3.peg.2427|CallaDRAFT_2330,fig|632518.3.peg.2139|Calow_2000	Biotin carboxyl carrier protein of oxaloacetate decarboxylase; Biotin carboxyl carrier protein	0.777777777778	Counter({'Biotin carboxyl carrier protein of oxaloacetate decarboxylase; Biotin carboxyl carrier protein': 7, 'Biotin carboxyl carrier protein => methylmalonyl-CoA decarboxylase @ Biotin carboxyl carrier protein': 2})	9	9.0
fig|1214564.3.peg.1294	fig|1214564.3.peg.1294	Allergen V5/Tpx-1 family protein	1.0	Counter({'Allergen V5/Tpx-1 family protein': 1})	1	1.0
fig|1214564.3.peg.1295	fig|1214564.3.peg.1295	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.186	fig|1214564.3.peg.2143,fig|1387555.3.peg.186,fig|1387557.3.peg.2734,fig|351627.8.peg.2678|Csac_2482,fig|632292.3.peg.497|Calhy_0453,fig|632335.8.peg.2517|Calkr_2325,fig|632348.3.peg.356|Calkro_0331,fig|632516.3.peg.2428|CallaDRAFT_2331,fig|632518.3.peg.2138|Calow_1999	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	1.0	Counter({'Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)': 9})	9	9.0
fig|608506.3.peg.1995|COB47_1864	fig|608506.3.peg.1995|COB47_1864	Putative unsaturated glucuronyl hydrolase	1.0	Counter({'Putative unsaturated glucuronyl hydrolase': 1})	1	1.0
fig|632516.3.peg.2404|CallaDRAFT_2306	fig|632335.8.peg.783|Calkr_0689,fig|632516.3.peg.2404|CallaDRAFT_2306	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632516.3.peg.678|CallaDRAFT_0655	fig|632335.8.peg.874,fig|632516.3.peg.678|CallaDRAFT_0655	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|351627.8.peg.307|Csac_0265	fig|1121259.3.peg.354,fig|1214564.3.peg.796,fig|1387557.3.peg.603,fig|351627.8.peg.307|Csac_0265,fig|632292.3.peg.2373|Calhy_2265	Chitobiose ABC transporter, ATP-binding protein 2	0.6	Counter({'Chitobiose ABC transporter, ATP-binding protein 2': 3, 'Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)': 2})	5	5.0
fig|351627.8.peg.132|Csac_0109	fig|1121259.3.peg.481,fig|1214564.3.peg.1965,fig|1387555.3.peg.280,fig|1387557.3.peg.469,fig|31899.10.peg.607|SAMN05216182_0464,fig|351627.8.peg.132|Csac_0109,fig|608506.3.peg.229|COB47_0207,fig|632292.3.peg.2526|Calhy_2408,fig|632335.8.peg.233|Calkr_0186,fig|632348.3.peg.2494|Calkro_2369,fig|632516.3.peg.2256|CallaDRAFT_2172,fig|632518.3.peg.160|Calow_0146	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	1.0	Counter({'Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)': 12})	12	12.0
fig|351627.8.peg.1309|Csac_1166	fig|351627.8.peg.1309|Csac_1166	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})	1	1.0
fig|1387557.3.peg.9	fig|1387557.3.peg.9	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1321|CallaDRAFT_1262	fig|632516.3.peg.1321|CallaDRAFT_1262	Glycosyl transferase, group 2 family	1.0	Counter({'Glycosyl transferase, group 2 family': 1})	1	1.0
fig|1387557.3.peg.1	fig|1387557.3.peg.1	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320)	1.0	Counter({'1,4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320)': 1})	1	1.0
fig|1387557.3.peg.2	fig|1387557.3.peg.2,fig|632516.3.peg.1341|CallaDRAFT_1281	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 2})	2	2.0
fig|1387557.3.peg.3	fig|1387557.3.peg.3	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 1})	1	1.0
fig|1387557.3.peg.4	fig|1387557.3.peg.4	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	1.0	Counter({'N-acylglucosamine 2-epimerase (EC 5.1.3.8)': 1})	1	1.0
fig|1387557.3.peg.5	fig|1387557.3.peg.5	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	1.0	Counter({'N-acylglucosamine 2-epimerase (EC 5.1.3.8)': 1})	1	1.0
fig|1121259.3.peg.561	fig|1121259.3.peg.561	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1327	fig|1121259.3.peg.2181,fig|351627.8.peg.1225,fig|632292.3.peg.2315,fig|632516.3.peg.1327	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|632335.8.peg.1817|Calkr_1683	fig|1387557.3.peg.1926,fig|351627.8.peg.1843|Csac_1675,fig|632335.8.peg.1817|Calkr_1683,fig|632348.3.peg.1108|Calkro_1046	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|632335.8.peg.266|Calkr_0220	fig|632335.8.peg.266|Calkr_0220	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.2692	fig|1214564.3.peg.2453,fig|351627.8.peg.2692	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632516.3.peg.1967|CallaDRAFT_1898	fig|632516.3.peg.1967|CallaDRAFT_1898	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.1088|Csac_0963	fig|351627.8.peg.1088|Csac_0963	Stage V sporulation protein B	1.0	Counter({'Stage V sporulation protein B': 1})	1	1.0
fig|351627.8.peg.2341	fig|351627.8.peg.2341	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.2276|Calkr_2105	fig|31899.10.peg.3044|SAMN05216182_2780,fig|632335.8.peg.2276|Calkr_2105	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|351627.8.peg.2348	fig|351627.8.peg.2348	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.2349	fig|1214564.3.peg.658,fig|351627.8.peg.2349,fig|632348.3.peg.1814	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632518.3.peg.531|Calow_0479	fig|632518.3.peg.531|Calow_0479	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1854|CallaDRAFT_1786	fig|1121259.3.peg.1608,fig|1214564.3.peg.1612,fig|1387555.3.peg.2463,fig|1387557.3.peg.739,fig|351627.8.peg.847|Csac_0739,fig|608506.3.peg.519|COB47_0461,fig|632292.3.peg.2262|Calhy_2158,fig|632335.8.peg.1951|Calkr_1810,fig|632348.3.peg.2251|Calkro_2136,fig|632516.3.peg.1854|CallaDRAFT_1786,fig|632518.3.peg.410|Calow_0367	Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)	1.0	Counter({'Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)': 11})	11	11.0
fig|632516.3.peg.878|CallaDRAFT_0837	fig|632516.3.peg.878|CallaDRAFT_0837	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1795|CallaDRAFT_1725	fig|1121259.3.peg.1005,fig|1214564.3.peg.613,fig|1387555.3.peg.1272,fig|1387557.3.peg.1253,fig|31899.10.peg.1481|SAMN05216182_1279,fig|351627.8.peg.2302|Csac_2122,fig|608506.3.peg.1623|COB47_1511,fig|632292.3.peg.1821|Calhy_1728,fig|632335.8.peg.1098|Calkr_0988,fig|632348.3.peg.1771|Calkro_1679,fig|632516.3.peg.1795|CallaDRAFT_1725,fig|632518.3.peg.854|Calow_0786	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	1.0	Counter({'Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)': 12})	12	12.0
fig|632516.3.peg.2346|CallaDRAFT_2255	fig|632516.3.peg.2346|CallaDRAFT_2255	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1436	fig|1214564.3.peg.1436,fig|632516.3.peg.1916|CallaDRAFT_1846,fig|632518.3.peg.67	Two-component system sensor histidine kinase	0.666666666667	Counter({'Two-component system sensor histidine kinase': 2, 'signal transduction histidine kinase, LytS': 1})	3	3.0
fig|1214564.3.peg.1434	fig|1214564.3.peg.1434	Uracil phosphoribosyltransferase (EC 2.4.2.9)	1.0	Counter({'Uracil phosphoribosyltransferase (EC 2.4.2.9)': 1})	1	1.0
fig|1214564.3.peg.1435	fig|1214564.3.peg.1435	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.325	fig|351627.8.peg.325	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.405|CallaDRAFT_0399	fig|632516.3.peg.405|CallaDRAFT_0399	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1430	fig|1121259.3.peg.857,fig|1214564.3.peg.1430,fig|1387555.3.peg.801,fig|1387557.3.peg.902,fig|31899.10.peg.1078|SAMN05216182_0902,fig|351627.8.peg.1348|Csac_1205,fig|608506.3.peg.655|COB47_0593,fig|632292.3.peg.2113|Calhy_2019,fig|632335.8.peg.666|Calkr_0595,fig|632348.3.peg.2097|Calkro_1989,fig|632516.3.peg.300|CallaDRAFT_0300,fig|632518.3.peg.566|Calow_0513	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	1.0	Counter({'Peptidyl-tRNA hydrolase (EC 3.1.1.29)': 12})	12	12.0
fig|1214564.3.peg.1439	fig|1214564.3.peg.1439	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1353|CallaDRAFT_1291	fig|1214564.3.peg.1442,fig|1387557.3.peg.2842,fig|31899.10.peg.81|SAMN05216182_0015,fig|351627.8.peg.353|Csac_0303,fig|632292.3.peg.329|Calhy_0295,fig|632335.8.peg.2362|Calkr_2184,fig|632335.8.peg.799|Calkr_0702,fig|632516.3.peg.1353|CallaDRAFT_1291,fig|632516.3.peg.2603|CallaDRAFT_2509	Regulators of stationary/sporulation gene expression	1.0	Counter({'Regulators of stationary/sporulation gene expression': 9})	9	7.0
fig|632518.3.peg.169|Calow_0154	fig|1121259.3.peg.472,fig|1214564.3.peg.1957,fig|1387557.3.peg.477,fig|31899.10.peg.615|SAMN05216182_0472,fig|351627.8.peg.140|Csac_0117,fig|608506.3.peg.237|COB47_0215,fig|632292.3.peg.2517|Calhy_2400,fig|632335.8.peg.242|Calkr_0194,fig|632348.3.peg.2485|Calkro_2361,fig|632516.3.peg.2264|CallaDRAFT_2180,fig|632518.3.peg.169|Calow_0154	Phosphoprotein phosphatase	0.818181818182	Counter({'Phosphoprotein phosphatase': 9, 'hypothetical protein': 2})	11	11.0
fig|31899.10.peg.294	fig|31899.10.peg.294	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|632518.3.peg.2035|Calow_1912	fig|1121259.3.peg.1251,fig|31899.10.peg.2794|SAMN05216182_2549,fig|608506.3.peg.2143|COB47_2005,fig|632348.3.peg.444|Calkro_0416,fig|632518.3.peg.2035|Calow_1912	Signal transduction histidine kinase CheA	1.0	Counter({'Signal transduction histidine kinase CheA': 5})	5	5.0
fig|1214564.3.peg.1240	fig|1214564.3.peg.1240	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})	1	1.0
fig|1214564.3.peg.1440	fig|1214564.3.peg.1440	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1194|SAMN05216182_1004	fig|31899.10.peg.1194|SAMN05216182_1004	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.1546|Csac_1393	fig|1387555.3.peg.2134,fig|31899.10.peg.3110|SAMN05216182_2836,fig|351627.8.peg.1546|Csac_1393,fig|632292.3.peg.362|Calhy_0330,fig|632348.3.peg.689|Calkro_0647	DNA-binding protein HBsu	1.0	Counter({'DNA-binding protein HBsu': 5})	5	5.0
fig|632292.3.peg.2	fig|632292.3.peg.2	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.9	fig|632292.3.peg.9	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.8	fig|1387557.3.peg.266,fig|632292.3.peg.8	death-on-curing family protein	1.0	Counter({'death-on-curing family protein': 2})	2	2.0
fig|632348.3.peg.1110|Calkro_1048	fig|1387557.3.peg.1924,fig|351627.8.peg.1845|Csac_1677,fig|632335.8.peg.1815|Calkr_1681,fig|632348.3.peg.1110|Calkro_1048	ATP/GTP-binding protein	1.0	Counter({'ATP/GTP-binding protein': 4})	4	4.0
fig|1387557.3.peg.1338	fig|1387557.3.peg.1338	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})	1	1.0
fig|632518.3.peg.1292	fig|632518.3.peg.1292	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2167	fig|1121259.3.peg.2313,fig|1214564.3.peg.919,fig|1387555.3.peg.2167,fig|1387557.3.peg.2462,fig|31899.10.peg.2613|SAMN05216182_2378,fig|351627.8.peg.1495|Csac_1345,fig|608506.3.peg.1967|COB47_1838,fig|632292.3.peg.747|Calhy_0688,fig|632335.8.peg.558|Calkr_0497,fig|632348.3.peg.633|Calkro_0590,fig|632516.3.peg.1037|CallaDRAFT_0979,fig|632518.3.peg.1858|Calow_1749	Nitrogen regulatory protein P-II	1.0	Counter({'Nitrogen regulatory protein P-II': 12})	12	12.0
fig|351627.8.peg.2873|Csac_2658	fig|351627.8.peg.2873|Csac_2658	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|351627.8.peg.857|Csac_0749	fig|1214564.3.peg.1601,fig|351627.8.peg.857|Csac_0749	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|351627.8.peg.1481|Csac_1332	fig|1121259.3.peg.1969,fig|1214564.3.peg.986,fig|1387555.3.peg.2181,fig|1387557.3.peg.2513,fig|31899.10.peg.2651|SAMN05216182_2411,fig|351627.8.peg.1481|Csac_1332,fig|608506.3.peg.2010|COB47_1877,fig|632292.3.peg.708|Calhy_0655,fig|632335.8.peg.543|Calkr_0484,fig|632348.3.peg.564|Calkro_0532,fig|632516.3.peg.1954|CallaDRAFT_1884,fig|632518.3.peg.1901|Calow_1786	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1.0	Counter({'3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)': 12})	12	12.0
fig|632518.3.peg.2065	fig|632518.3.peg.2065	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2768	fig|1121259.3.peg.419,fig|632335.8.peg.298,fig|632516.3.peg.2768	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|351627.8.peg.1588|Csac_1430	fig|31899.10.peg.3039|SAMN05216182_2775,fig|351627.8.peg.1588|Csac_1430,fig|632335.8.peg.2271|Calkr_2100	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|632335.8.peg.2658|Calkr_2442	fig|1387555.3.peg.652,fig|632335.8.peg.2658|Calkr_2442	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632292.3.peg.390|Calhy_0357	fig|632292.3.peg.390|Calhy_0357	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.766|SAMN05216182_0609	fig|31899.10.peg.766|SAMN05216182_0609,fig|608506.3.peg.329|COB47_0300	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|31899.10.peg.737|SAMN05216182_0580	fig|31899.10.peg.737|SAMN05216182_0580	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.802	fig|1121259.3.peg.858,fig|1214564.3.peg.1429,fig|1387555.3.peg.802,fig|1387557.3.peg.903,fig|31899.10.peg.1079|SAMN05216182_0903,fig|351627.8.peg.1349|Csac_1206,fig|608506.3.peg.656|COB47_0594,fig|632292.3.peg.2112|Calhy_2018,fig|632335.8.peg.667|Calkr_0596,fig|632348.3.peg.2096|Calkro_1988,fig|632518.3.peg.567|Calow_0514	Transcription-repair coupling factor	1.0	Counter({'Transcription-repair coupling factor': 11})	11	11.0
fig|1387555.3.peg.1604	fig|1121259.3.peg.152,fig|1214564.3.peg.2367,fig|1387555.3.peg.1604,fig|1387557.3.peg.1554,fig|31899.10.peg.1801|SAMN05216182_1591,fig|351627.8.peg.2055|Csac_1878,fig|608506.3.peg.1349|COB47_1244,fig|632292.3.peg.1500|Calhy_1413,fig|632335.8.peg.1420|Calkr_1298,fig|632348.3.peg.1469|Calkro_1388,fig|632516.3.peg.196|CallaDRAFT_0197,fig|632518.3.peg.1186|Calow_1104	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|1387555.3.peg.1605	fig|1121259.3.peg.151,fig|1214564.3.peg.2366,fig|1387555.3.peg.1605,fig|1387557.3.peg.1553,fig|31899.10.peg.1800|SAMN05216182_1590,fig|351627.8.peg.2054|Csac_1877,fig|608506.3.peg.1350|COB47_1245,fig|632292.3.peg.1501|Calhy_1414,fig|632335.8.peg.1419|Calkr_1297,fig|632348.3.peg.1470|Calkro_1389,fig|632516.3.peg.197|CallaDRAFT_0198,fig|632518.3.peg.1185|Calow_1103	Glycosyl transferase, family 2	0.75	Counter({'Glycosyl transferase, family 2': 9, 'Glycosyltransferases involved in cell wall biogenesis': 3})	12	12.0
fig|31899.10.peg.369|SAMN05216182_0243	fig|31899.10.peg.369|SAMN05216182_0243,fig|632292.3.peg.2450|Calhy_2336,fig|632348.3.peg.1888|Calkro_1790,fig|632518.3.peg.117|Calow_0104	hypothetical protein	0.5	Counter({'hypothetical protein': 2, 'protein of unknown function UPF0236': 2})	4	4.0
fig|1387555.3.peg.1600	fig|1121259.3.peg.156,fig|1214564.3.peg.2371,fig|1387555.3.peg.1600,fig|1387557.3.peg.1558,fig|31899.10.peg.1805|SAMN05216182_1595,fig|351627.8.peg.2059,fig|608506.3.peg.1345|COB47_1240,fig|632292.3.peg.1496|Calhy_1409,fig|632335.8.peg.1425|Calkr_1303,fig|632348.3.peg.1465|Calkro_1384,fig|632516.3.peg.192|CallaDRAFT_0193,fig|632518.3.peg.1190|Calow_1108	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|1387555.3.peg.1601	fig|1121259.3.peg.155,fig|1214564.3.peg.2370,fig|1387555.3.peg.1601,fig|1387557.3.peg.1557,fig|31899.10.peg.1804|SAMN05216182_1594,fig|351627.8.peg.2058|Csac_1881,fig|608506.3.peg.1346|COB47_1241,fig|632292.3.peg.1497|Calhy_1410,fig|632335.8.peg.1424|Calkr_1302,fig|632348.3.peg.1466|Calkro_1385,fig|632516.3.peg.193|CallaDRAFT_0194,fig|632518.3.peg.1189|Calow_1107	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	1.0	Counter({'Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)': 12})	12	12.0
fig|1387555.3.peg.1351	fig|1121259.3.peg.313,fig|1214564.3.peg.524,fig|1387555.3.peg.1351,fig|1387557.3.peg.1731,fig|31899.10.peg.1977|SAMN05216182_1763,fig|351627.8.peg.2209|Csac_2031,fig|608506.3.peg.1167|COB47_1070,fig|632292.3.peg.1336|Calhy_1252,fig|632335.8.peg.1593|Calkr_1469,fig|632348.3.peg.1302|Calkro_1226,fig|632516.3.peg.50|CallaDRAFT_0049,fig|632518.3.peg.1350|Calow_1263	Phosphate transport regulator (distant homolog of PhoU)	1.0	Counter({'Phosphate transport regulator (distant homolog of PhoU)': 12})	12	12.0
fig|632516.3.peg.2777	fig|632516.3.peg.2777	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.1979|CallaDRAFT_1910	fig|632335.8.peg.2468|Calkr_2279,fig|632516.3.peg.1979|CallaDRAFT_1910	UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)	1.0	Counter({'UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28)': 2})	2	2.0
fig|1387555.3.peg.1608	fig|1121259.3.peg.148,fig|1214564.3.peg.2363,fig|1387555.3.peg.1608,fig|1387557.3.peg.1550,fig|31899.10.peg.1797|SAMN05216182_1587,fig|351627.8.peg.2051|Csac_1874,fig|608506.3.peg.1353|COB47_1248,fig|632292.3.peg.1504|Calhy_1417,fig|632335.8.peg.1416|Calkr_1294,fig|632348.3.peg.1473|Calkro_1392,fig|632516.3.peg.200|CallaDRAFT_0201,fig|632518.3.peg.1182|Calow_1100	Methylglyoxal synthase (EC 4.2.3.3)	1.0	Counter({'Methylglyoxal synthase (EC 4.2.3.3)': 12})	12	12.0
