patric_id	KO	COG	COG_function
fig|31899.10.peg.1663	K01588	F	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)
fig|31899.10.peg.1664	K08177	G	Major Facilitator
fig|31899.10.peg.1666		S	NA
fig|31899.10.peg.1667	"K02051,K15553"	P	ABC transporter substrate-binding protein
fig|31899.10.peg.1668	"K02049,K15578,K15579"	P	(ABC) transporter
fig|31899.10.peg.1669	"K02050,K15554"	P	binding-protein-dependent transport systems inner membrane Component
fig|31899.10.peg.1670	K03154	H	thiamine biosynthesis protein ThiS
fig|31899.10.peg.1671	K11996	H	Uba ThiF-type NAD FAD-binding protein
fig|31899.10.peg.1672		S	mov34 mpn pad-1 family protein
fig|31899.10.peg.1673		C	Sulfite reductase
fig|31899.10.peg.1674	K04085	S	"redox protein, regulator of disulfide bond"
fig|31899.10.peg.1675	"K01739,K01740"	E	O-acetylhomoserine
fig|31899.10.peg.1676	K00394	C	Adenylylsulfate reductase subunit alpha
fig|31899.10.peg.1677	K00395	C	"4Fe-4S Ferredoxin, iron-sulfur binding domain protein"
fig|31899.10.peg.1678	"K00390,K00957"	P	"sulfate adenylyltransferase), subunit 2"
fig|31899.10.peg.1679	"K00955,K00956"	P	"May be the GTPase, regulating ATP sulfurylase activity (By similarity)"
fig|31899.10.peg.1680	K02492	H	Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA) (By similarity)
fig|31899.10.peg.1681	K02304	H	Precorrin-2 dehydrogenase
fig|31899.10.peg.1682	K07496	L	transposase IS605 OrfB family
fig|31899.10.peg.1684	K01749	H	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps (By similarity)
fig|31899.10.peg.1685	"K02302,K02303,K13542"	H	Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity)
fig|31899.10.peg.1686	K01698	H	delta-aminolevulinic acid dehydratase
fig|31899.10.peg.1687	K01845	H	Glutamate-1-semialdehyde aminotransferase
fig|31899.10.peg.1688	K06864	L	PP-loop domain protein
fig|31899.10.peg.1690	K02520	J	"IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)"
fig|31899.10.peg.1691	K02916	J	50s ribosomal protein L35
fig|31899.10.peg.1692	K02887	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)
fig|31899.10.peg.1693	"K00556,K03437"	J	rrna methyltransferase
fig|31899.10.peg.1694		S	UPF0297 protein
fig|31899.10.peg.1696		C	Aldo Keto reductase
fig|31899.10.peg.1697	K07447	L	Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)
fig|31899.10.peg.1699	K03517	H	Catalyzes the condensation of iminoaspartate with dihydroxyacetone phosphate to form quinolinate (By similarity)
fig|31899.10.peg.1700	K00278	H	L-aspartate oxidase
fig|31899.10.peg.1701	K00767	H	nicotinate-nucleotide pyrophosphorylase
fig|31899.10.peg.1702		C	Anaerobic dehydrogenase
fig|31899.10.peg.1703	K03752	H	Transfers a GMP moiety from GTP to Mo-molybdopterin (Mo- MPT) cofactor (Moco or molybdenum cofactor) to form Mo- molybdopterin guanine dinucleotide (Mo-MGD) cofactor (By similarity)
fig|31899.10.peg.1704		S	Nudix Hydrolase
fig|31899.10.peg.1705	K06969	S	SAM-dependent methyltransferase
fig|31899.10.peg.1706	K03500	J	NOL1 NOP2 sun family
fig|31899.10.peg.1707	"K06178,K06183"	J	Pseudouridine synthase
fig|31899.10.peg.1708		S	Membrane
fig|31899.10.peg.1709		S	Alkaline-shock protein
fig|31899.10.peg.1710	K07030	S	dak2 domain fusion protein ylov
fig|31899.10.peg.1711	K03655	L	ATP-dependent DNA helicase recg
fig|31899.10.peg.1712	"K06418,K06421"	S	"small acid-soluble spore protein, alpha beta type"
fig|31899.10.peg.1713	K08316	L	methyltransferase
fig|31899.10.peg.1714	K00954	H	"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)"
fig|31899.10.peg.1715		S	"H -ATPase, subunit H"
fig|31899.10.peg.1716		S	Sporulation integral membrane protein YlbJ
fig|31899.10.peg.1717	K07001	S	K07001 NTE family protein
fig|31899.10.peg.1718		S	UPF0348 protein
fig|31899.10.peg.1719	"K00248,K00249"	I	acyl-Coa dehydrogenase
fig|31899.10.peg.1720	K03521	C	Electron transfer flavoprotein
fig|31899.10.peg.1721	K03522	C	Electron transfer flavoprotein
fig|31899.10.peg.1722	K02238	M	Competence protein
fig|31899.10.peg.1724		E	DegT DnrJ EryC1 StrS aminotransferase
fig|31899.10.peg.1725	K13015	M	Dehydrogenase
fig|31899.10.peg.1726	K13020	S	domain protein
fig|31899.10.peg.1727	K00640	S	Transferase hexapeptide repeat containing protein
fig|31899.10.peg.1728	K02847	M	O-Antigen polymerase
fig|31899.10.peg.1729	K16705	S	O-Antigen ligase
fig|31899.10.peg.1730		M	Glycosyl transferase (Group 1
fig|31899.10.peg.1731		K	TRANSCRIPTIONal
fig|31899.10.peg.1732	K07736	K	Transcriptional regulator (CarD family
fig|31899.10.peg.1733		S	"Protein of unknown function, DUF624"
fig|31899.10.peg.1734	K02897	J	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)
fig|31899.10.peg.1735	K01755	E	arginosuccinase
fig|31899.10.peg.1736	K01940	E	Citrulline--aspartate ligase
fig|31899.10.peg.1737	"K00969,K01488"	H	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD) (By similarity)
fig|31899.10.peg.1738	K00969	H	Metal Dependent Phosphohydrolase
fig|31899.10.peg.1739		K	TRANSCRIPTIONal
fig|31899.10.peg.1740	K09710	S	"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation (By similarity)"
fig|31899.10.peg.1741	K01869	J	Leucyl-tRNA synthetase
fig|31899.10.peg.1742	"K01286,K07258"	M	carboxypeptidase
fig|31899.10.peg.1743		S	Uncharacterised protein family (UPF0236)
fig|31899.10.peg.1744	K02237	L	Competence protein
fig|31899.10.peg.1745	K07040	S	metal-binding protein
fig|31899.10.peg.1746	K02911	J	50S ribosomal protein L32
fig|31899.10.peg.1747	K01934	H	5-formyltetrahydrofolate cyclo-ligase
fig|31899.10.peg.1748		T	Metal Dependent Phosphohydrolase
fig|31899.10.peg.1749	"K02337,K14162"	L	DNA polymerase iii
fig|31899.10.peg.1750	K06285	K	Tryptophan RNA-binding attenuator protein
fig|31899.10.peg.1751		S	NA
fig|31899.10.peg.1752	K00850	G	phosphohexokinase
fig|31899.10.peg.1753	K00873	G	Pyruvate kinase
fig|31899.10.peg.1754	K07107	S	Thioesterase
fig|31899.10.peg.1755	K02970	J	30S ribosomal protein S21
fig|31899.10.peg.1756	K09117	S	gatB Yqey
fig|31899.10.peg.1757		S	sporulation protein YqfC
fig|31899.10.peg.1758	K06438	S	sporulation protein yqfd
fig|31899.10.peg.1759	K06217	T	Phoh family
fig|31899.10.peg.1760	K07037	S	Metal Dependent Phosphohydrolase
fig|31899.10.peg.1761	"K01489,K07042"	F	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)
fig|31899.10.peg.1762	"K00887,K00901"	M	Diacylglycerol kinase
fig|31899.10.peg.1763		S	secreted protein
fig|31899.10.peg.1764	K07576	J	Metallo-Beta-Lactamase
fig|31899.10.peg.1765		S	NA
fig|31899.10.peg.1766	K01736	E	5-enolpyruvylshikimate-3-phosphate phospholyase
fig|31899.10.peg.1767	"K01286,K07258"	M	carboxypeptidase
fig|31899.10.peg.1768		S	PTS HPr component phosphorylation site
fig|31899.10.peg.1769	K18707	J	MiaB-like tRNA modifying enzyme
fig|31899.10.peg.1770	K01889	J	phenylalanyl-tRNA synthetase (alpha subunit)
fig|31899.10.peg.1771	K01890	J	phenylalanyl-tRNA synthetase (beta subunit)
fig|31899.10.peg.1772	K03657	L	ATP-dependent DNA helicase pcra
fig|31899.10.peg.1773	K09775	S	Acid phosphatase vanadium-dependent haloperoxidase related
fig|31899.10.peg.1775		S	NA
fig|31899.10.peg.1776	K01662	H	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)
fig|31899.10.peg.1777	K06442	J	Hemolysin A
fig|31899.10.peg.1778		S	Drtgg domain protein
fig|31899.10.peg.1779	K17752	T	anti-sigma regulatory factor serine threonine protein kinase
fig|31899.10.peg.1780		C	Fe-S cluster domain protein
fig|31899.10.peg.1781		S	DRTGG domain-containing protein
fig|31899.10.peg.1782	K07053	S	PHP domain protein
fig|31899.10.peg.1783	"K00334,K18330"	C	"NADH dehydrogenase (Ubiquinone), 24 kDa subunit"
fig|31899.10.peg.1784		T	Histidine kinase
fig|31899.10.peg.1785	K17992	C	"NADP-reducing hydrogenase, subunit B"
fig|31899.10.peg.1786	"K00335,K18331"	C	NADH dehydrogenase
fig|31899.10.peg.1787	K18332	C	#NAME?
fig|31899.10.peg.1788	K06287	D	MAF-like protein
fig|31899.10.peg.1789	K03569	D	Rod shape-determining protein mreb
fig|31899.10.peg.1790	K03570	M	Involved in formation and maintenance of cell shape (By similarity)
fig|31899.10.peg.1792	K05515	M	penicillin-binding protein
fig|31899.10.peg.1793	K03610	D	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization (By similarity)
fig|31899.10.peg.1794	K03609	D	site-determining protein
fig|31899.10.peg.1795	K03608	D	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell (By similarity)
fig|31899.10.peg.1796	K05837	M	Rod shape-determining protein rodA
fig|31899.10.peg.1797	K01734	G	methylglyoxal synthase
fig|31899.10.peg.1798		S	thiamin pyrophosphokinase catalytic
fig|31899.10.peg.1799		S	Protein of unknown function (DUF3186)
fig|31899.10.peg.1800		M	"Glycosyl transferase, family 2"
fig|31899.10.peg.1801		S	NA
fig|31899.10.peg.1802	K00797	E	"Catalyzes the production of spermidine from putrescine and decarboxylated S-adenosylmethionine (dcSAM), which serves as an aminopropyl donor (By similarity)"
fig|31899.10.peg.1803	"K01479,K01480"	E	agmatinase
fig|31899.10.peg.1804	K01966	I	carboxyl transferase
fig|31899.10.peg.1806	"K00627,K01615,K17490"	I	biotin lipoyl attachment domaiN-containing protein
fig|31899.10.peg.1807	K01571	C	Oxaloacetate decarboxylase
fig|31899.10.peg.1809		K	transcriptional regulator
fig|31899.10.peg.1810	"K15634,K15640"	G	phosphoglycerate mutase
fig|31899.10.peg.1811		S	HutP family
fig|31899.10.peg.1812	K06208	E	chorismate mutase
fig|31899.10.peg.1813	"K00945,K13799"	F	Cytidine monophosphate kinase
fig|31899.10.peg.1814	K00655	I	Acyl-transferase
fig|31899.10.peg.1815	"K02945,K03527"	J	Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)
fig|31899.10.peg.1818		P	permease
fig|31899.10.peg.1819	K01872	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)
fig|31899.10.peg.1820	K02503	"F, G"	histidine triad (hIT) protein
fig|31899.10.peg.1821	K00858	G	Catalyzes the phosphorylation of NAD to NADP. Utilizes ATP and other nucleoside triphosphates as well as inorganic polyphosphate as a source of phosphorus (By similarity)
fig|31899.10.peg.1822	K03402	K	Regulates arginine biosynthesis genes (By similarity)
fig|31899.10.peg.1823	K03631	L	May be involved in recombinational repair of damaged DNA (By similarity)
fig|31899.10.peg.1824	K06399	M	Stage IV sporulation protein B
fig|31899.10.peg.1825	K07699	T	Sporulation
fig|31899.10.peg.1826	K06409	M	Polysaccharide Biosynthesis Protein
fig|31899.10.peg.1827	K00286	E	pyrroline-5-carboxylate reductase
fig|31899.10.peg.1828	K03469	L	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
fig|31899.10.peg.1829		S	NA
fig|31899.10.peg.1830	K01515	F	nudix hydrolase
fig|31899.10.peg.1831		L	php domain-containing protein
fig|31899.10.peg.1832	K06997	F	alanine racemase domain protein
fig|31899.10.peg.1833	K09772	S	"Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation, perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA (By similarity)"
fig|31899.10.peg.1835		J	s4 domain protein
fig|31899.10.peg.1836	K04074	D	Cell division protein DIVIVA
fig|31899.10.peg.1837	K01870	J	"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)"
fig|31899.10.peg.1838	"K01524,K01735,K13829"	E	3-dehydroquinate synthase
fig|31899.10.peg.1841		S	NA
fig|31899.10.peg.1842		S	NA
fig|31899.10.peg.1843		K	Transcriptional regulator
fig|31899.10.peg.1844		"K, T"	Inherit from COG: Peptidase m56
fig|31899.10.peg.1845		S	NA
fig|31899.10.peg.1849	K08963	J	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)
fig|31899.10.peg.1850	K00772	F	"Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S- adenosylmethionine. Has broad substrate specificity with 6- aminopurine nucleosides as preferred substrates (By similarity)"
fig|31899.10.peg.1851		S	NA
fig|31899.10.peg.1852	K06204	K	"Transcriptional regulator, TraR DksA family"
fig|31899.10.peg.1853	K07114	S	"von Willebrand factor, type A"
fig|31899.10.peg.1860	K03101	"M, U"	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)
fig|31899.10.peg.1861	K06180	J	Pseudouridine synthase
fig|31899.10.peg.1863	K02825	F	Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant (By similarity)
fig|31899.10.peg.1864	K02824	F	permease
fig|31899.10.peg.1865	K00609	F	aspartate transcarbamylase
fig|31899.10.peg.1866	K01465	F	dihydroorotase
fig|31899.10.peg.1867	"K01591,K13421"	F	orotidine 5''-phosphate decarboxylase
fig|31899.10.peg.1868	"K01955,K01990"	F	carbamoyl-phosphate synthetase ammonia chain
fig|31899.10.peg.1869	K02823	C	Responsible for channeling the electrons from the oxidation of dihydroorotate from the FMN redox center in the PyrD type B subunit to the ultimate electron acceptor NAD( ) (By similarity)
fig|31899.10.peg.1870	K02823	C	Responsible for channeling the electrons from the oxidation of dihydroorotate from the FMN redox center in the PyrD type B subunit to the ultimate electron acceptor NAD( ) (By similarity)
fig|31899.10.peg.1871	"K00226,K00254,K02823,K17828"	F	Catalyzes the conversion of dihydroorotate to orotate (By similarity)
fig|31899.10.peg.1872	"K15634,K15640"	G	Phosphoglycerate mutase
fig|31899.10.peg.1873	K00762	F	"Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP) (By similarity)"
fig|31899.10.peg.1875	K01996	E	"ABC, transporter"
fig|31899.10.peg.1876	"K01995,K01998"	E	ABC transporter
fig|31899.10.peg.1877	K01998	E	Branched-chain amino acid ABC transporter permease protein
fig|31899.10.peg.1878	K01997	E	"branched-chain amino acid ABC transporter, permease protein"
fig|31899.10.peg.1879	K01997	E	"branched-chain amino acid ABC transporter, permease protein"
fig|31899.10.peg.1880	"K01999,K11959"	E	amino acid abc
fig|31899.10.peg.1881	K09126	S	"Pyruvate kinase, alpha/beta domain"
fig|31899.10.peg.1882	K03733	L	"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)"
fig|31899.10.peg.1891	"K02022,K12293"	U	Transport protein ComB
fig|31899.10.peg.1892	"K02022,K12293"	U	Transport protein ComB
fig|31899.10.peg.1893	"K06147,K06148,K12292"	V	Abc transporter
fig|31899.10.peg.1894		S	PilT protein domain protein
fig|31899.10.peg.1895		S	CopG domain protein DNA-binding domain protein
fig|31899.10.peg.1896	K01812	G	Uronic isomerase
fig|31899.10.peg.1897	K01689	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)
fig|31899.10.peg.1898	K15633	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)
fig|31899.10.peg.1899	"K00927,K01803"	G	Phosphoglycerate kinase
fig|31899.10.peg.1900	K00134	G	"Glyceraldehyde-3-phosphate dehydrogenase, type I"
fig|31899.10.peg.1901	K05311	K	regulatoR
fig|31899.10.peg.1902	K01006	G	pyruvate phosphate dikinase
fig|31899.10.peg.1903	K01880	J	Catalyzes the attachment of glycine to tRNA(Gly) (By similarity)
fig|31899.10.peg.1904	K03584	L	Involved in DNA repair and RecF pathway recombination (By similarity)
fig|31899.10.peg.1905	K03595	M	"An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)"
fig|31899.10.peg.1906	"K00841,K10907"	E	Aminotransferase
fig|31899.10.peg.1907		K	transcriptional regulator AsnC family
fig|31899.10.peg.1910	K01520	F	"This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)"
fig|31899.10.peg.1911	K07263	O	Peptidase M16 domain protein
fig|31899.10.peg.1912	K03686	O	DnaJ domain protein
fig|31899.10.peg.1913		S	NA
fig|31899.10.peg.1915	K02114	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
fig|31899.10.peg.1916	K02112	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)
fig|31899.10.peg.1917	K02115	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)
fig|31899.10.peg.1918	K02111	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
fig|31899.10.peg.1919	K02113	C	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"
fig|31899.10.peg.1920	K02109	C	"Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)"
fig|31899.10.peg.1921	K02110	C	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"
fig|31899.10.peg.1922	K02108	C	it plays a direct role in the translocation of protons across the membrane (By similarity)
fig|31899.10.peg.1924	"K01951,K03790"	F	Catalyzes the synthesis of GMP from XMP (By similarity)
fig|31899.10.peg.1925	K07088	S	auxin efflux carrier
fig|31899.10.peg.1927		C	domain protein
fig|31899.10.peg.1928	K00362	C	pyridine nucleotide-disulfide oxidoreductase
fig|31899.10.peg.1929	K03701	L	"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)"
fig|31899.10.peg.1930	K03702	L	"damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)"
fig|31899.10.peg.1931	K08309	M	Lytic transglycosylase catalytic
fig|31899.10.peg.1932	K00859	H	Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A (By similarity)
fig|31899.10.peg.1933	K02335	L	dna polymerase I
fig|31899.10.peg.1935		C	rubredoxin
fig|31899.10.peg.1936	"K01945,K01952"	F	Phosphoribosylglycinamide synthetase
fig|31899.10.peg.1937	K00602	F	bifunctional purine biosynthesis protein purh
fig|31899.10.peg.1938	K11175	F	phosphoribosylglycinamide formyltransferase
fig|31899.10.peg.1939	K01933	F	phosphoribosylaminoimidazole synthetase
fig|31899.10.peg.1940	"K00764,K03558"	F	glutamine phosphoribosylpyrophosphate amidotransferase
fig|31899.10.peg.1941	K01952	F	phosphoribosylformylglycinamidine synthase ii
fig|31899.10.peg.1942	K01952	F	Phosphoribosylformylglycinamidine synthase I
fig|31899.10.peg.1943	K01952	F	phosphoribosylformylglycinamidine synthase
fig|31899.10.peg.1944	"K01587,K01923"	F	SAICAR synthetase
fig|31899.10.peg.1945	K06901	S	Xanthine uracil vitamin C permease
fig|31899.10.peg.1946	K04771	O	protease
fig|31899.10.peg.1947	K07651	T	Histidine kinase
fig|31899.10.peg.1948		T	"Two component transcriptional regulator, winged helix family"
fig|31899.10.peg.1949	K04655	O	hydrogenase expression formation protein (HypE)
fig|31899.10.peg.1950	K08972	S	membrane
fig|31899.10.peg.1951	"K00995,K08744"	I	Cdp-alcohol phosphatidyltransferase
fig|31899.10.peg.1952		L	Single-strand binding protein Primosomal replication protein n
fig|31899.10.peg.1954		G	polysaccharide deacetylase
fig|31899.10.peg.1955	K04074	S	DivIVA protein
fig|31899.10.peg.1956		H	uba thif-type nad fad binding protein
fig|31899.10.peg.1958		I	coA-substrate-specific enzyme activase
fig|31899.10.peg.1959		I	Inherit from COG: coA-substrate-specific enzyme activase
fig|31899.10.peg.1960		I	CoA enzyme activase uncharacterised domain (DUF2229)
fig|31899.10.peg.1961	K10773	L	endonuclease III
fig|31899.10.peg.1962	K03823	M	N-acetyltransferase
fig|31899.10.peg.1963	K03980	T	Integral membrane protein (MviN
fig|31899.10.peg.1964	"K00971,K01809,K16011"	M	Mannose-1-phosphate guanylyltransferase
fig|31899.10.peg.1965	"K01496,K11755"	E	Phosphoribosyl-amp cyclohydrolase
fig|31899.10.peg.1966	"K01663,K02500,K11755"	E	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)"
fig|31899.10.peg.1967	K01814	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
fig|31899.10.peg.1968	K02501	E	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)"
fig|31899.10.peg.1969	"K01089,K01693"	E	imidazole-glycerol-phosphate dehydratase
fig|31899.10.peg.1970	K00817	E	Imidazole acetol-phosphate transaminase
fig|31899.10.peg.1971	"K00013,K15509"	E	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)
fig|31899.10.peg.1972	"K00765,K02502"	E	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)
fig|31899.10.peg.1973	K02502	E	Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine (By similarity)
fig|31899.10.peg.1974		S	Membrane
fig|31899.10.peg.1975	K02039	P	Plays a role in the regulation of phosphate uptake
fig|31899.10.peg.1976	K02036	P	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system (By similarity)
fig|31899.10.peg.1977	K07220	P	phosphate transport regulator
fig|31899.10.peg.1978	K03306	P	phosphate transporter
fig|31899.10.peg.1979	K07636	T	Histidine kinase
fig|31899.10.peg.1980	K07658	T	Two component transcriptional regulator (Winged helix family
fig|31899.10.peg.1981	K05810	S	Multi-copper polyphenol oxidoreductase laccase
fig|31899.10.peg.1982	K00616	G	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)
fig|31899.10.peg.1983	"K01533,K11754"	H	folylpolyglutamate synthase Dihydrofolate synthase
fig|31899.10.peg.1984	K01873	J	"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)"
fig|31899.10.peg.1985	K05919	C	Superoxide reductase
fig|31899.10.peg.1986	"K00925,K19697"	C	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)
fig|31899.10.peg.1987	"K00625,K04020,K13788,K18672"	C	phosphate acetyltransferase
fig|31899.10.peg.1988	K01356	K	"Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity)"
fig|31899.10.peg.1989	K01758	P	aluminum resistance protein
fig|31899.10.peg.1990	K03666	T	"RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs (By similarity)"
fig|31899.10.peg.1991	K00791	J	"Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)"
fig|31899.10.peg.1992	K03572	L	"This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)"
