Rep_gene	most_common_function	function_proportion	count_result
fig|351627.8.peg.417|Csac_0360	Rhamnogalacturonides degradation protein RhiN	1.0	Counter({'Rhamnogalacturonides degradation protein RhiN': 12})
fig|632292.3.peg.802|Calhy_0740	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.381	Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)	1.0	Counter({'Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)': 12})
fig|1387555.3.peg.387	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1387555.3.peg.438	Two-component system sensor histidine kinase	1.0	Counter({'Two-component system sensor histidine kinase': 1})
fig|1387555.3.peg.385	Serine phosphatase RsbU, regulator of sigma subunit	0.75	Counter({'Serine phosphatase RsbU, regulator of sigma subunit': 9, 'Putative PAS/PAC sensor protein': 3})
fig|1387555.3.peg.384	FIG072699: hypothetical protein	1.0	Counter({'FIG072699: hypothetical protein': 12})
fig|1387555.3.peg.435	Transposase, IS200 family	1.0	Counter({'Transposase, IS200 family': 1})
fig|1387555.3.peg.434	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.437	Transposase	1.0	Counter({'Transposase': 1})
fig|1387555.3.peg.388	Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)	1.0	Counter({'Fumarate hydratase class I, alpha region (EC 4.2.1.2); L(+)-tartrate dehydratase alpha subunit (EC 4.2.1.32)': 12})
fig|1387555.3.peg.431	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.430	Two-component system sensor histidine kinase	1.0	Counter({'Two-component system sensor histidine kinase': 1})
fig|1387555.3.peg.433	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.432	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.913	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.915	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1361|Csac_1219	RNA binding protein, contains ribosomal protein S1 domain	1.0	Counter({'RNA binding protein, contains ribosomal protein S1 domain': 10})
fig|1214564.3.peg.918	Ammonium transporter family	1.0	Counter({'Ammonium transporter family': 1})
fig|1387557.3.peg.998	hypothetical protein	0.555555555556	Counter({'hypothetical protein': 5, 'protein of unknown function UPF0236': 4})
fig|351627.8.peg.2743|Csac_2544	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)': 5})
fig|632348.3.peg.2728|Calkro_2564	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 8})
fig|1387557.3.peg.774	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.991	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.992	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.993	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.994	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1399|Csac_1254	Flagellar basal-body rod protein FlgB	1.0	Counter({'Flagellar basal-body rod protein FlgB': 12})
fig|632292.3.peg.2432|Calhy_2322	Formylmethanofuran dehydrogenase FmdE	1.0	Counter({'Formylmethanofuran dehydrogenase FmdE': 12})
fig|632516.3.peg.1786	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|31899.10.peg.989|SAMN05216182_0821	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)	1.0	Counter({'Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)': 12})
fig|632516.3.peg.930|CallaDRAFT_0883	Uncharacterized substrate:H+ symporter, LctP family	1.0	Counter({'Uncharacterized substrate:H+ symporter, LctP family': 1})
fig|632516.3.peg.2680|CallaDRAFT_2593	transposase, IS30 family	1.0	Counter({'transposase, IS30 family': 1})
fig|1387555.3.peg.659	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)	0.5	Counter({'Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)': 2, 'Sugar transferase involved in lipopolysaccharide synthesis': 1, 'Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-)': 1})
fig|1387555.3.peg.658	UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.135)	1.0	Counter({'UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.135)': 3})
fig|351627.8.peg.2511|Csac_2326	ABC transporter, substrate-binding protein (cluster 11, riboflavin/purine nucleoside/unknown)	0.8	Counter({'ABC transporter, substrate-binding protein (cluster 11, riboflavin/purine nucleoside/unknown)': 8, 'Nucleoside ABC transporter, substrate-binding protein': 2})
fig|632516.3.peg.943|CallaDRAFT_0894	S-layer homology domain	1.0	Counter({'S-layer homology domain': 12})
fig|351627.8.peg.2923|Csac_2704	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|351627.8.peg.1633|Csac_1472	hypothetical protein	1.0	Counter({'hypothetical protein': 6})
fig|1387555.3.peg.653	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.655	Tyrosine-protein kinase EpsD (EC 2.7.10.2)	1.0	Counter({'Tyrosine-protein kinase EpsD (EC 2.7.10.2)': 4})
fig|1387555.3.peg.657	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|31899.10.peg.440|SAMN05216182_0313	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	1.0	Counter({'dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)': 3})
fig|1387555.3.peg.2476	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2708	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.1803|Calkr_1669	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.817|Csac_0712	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2877|SAMN05216182_2625	Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3); Methylmalonyl-CoA decarboxylase alpha chain (EC 4.1.1.41)	1.0	Counter({'Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3); Methylmalonyl-CoA decarboxylase alpha chain (EC 4.1.1.41)': 1})
fig|31899.10.peg.78|SAMN05216182_0012	Dethiobiotin synthase BioD (EC 6.3.3.3)	1.0	Counter({'Dethiobiotin synthase BioD (EC 6.3.3.3)': 7})
fig|632518.3.peg.408|Calow_0365	Ferredoxin	1.0	Counter({'Ferredoxin': 1})
fig|632516.3.peg.2441|CallaDRAFT_2344	Maltodextrin ABC transporter, substrate-binding protein MdxE	1.0	Counter({'Maltodextrin ABC transporter, substrate-binding protein MdxE': 11})
fig|608506.3.peg.2011|COB47_1878	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	1.0	Counter({'3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)': 12})
fig|632348.3.peg.2341|Calkro_2224	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1792	hypothetical protein	1.0	Counter({'hypothetical protein': 7})
fig|632516.3.peg.1790	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632518.3.peg.310	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2705	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1121259.3.peg.2032	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.997	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632516.3.peg.1727|CallaDRAFT_1660	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.990	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2911	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.964|Csac_0851	hypothetical protein	0.857142857143	Counter({'hypothetical protein': 6, 'Methylase homolog': 1})
fig|632292.3.peg.1806|Calhy_1714	hypothetical protein	0.92	Counter({'hypothetical protein': 23, 'Protein of unknown function DUF820': 2})
fig|632292.3.peg.2244|Calhy_2142	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1121259.3.peg.2027	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2554|CallaDRAFT_2459	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.166|CallaDRAFT_0167	ADP-ribose pyrophosphatase (EC 3.6.1.13)	1.0	Counter({'ADP-ribose pyrophosphatase (EC 3.6.1.13)': 12})
fig|632292.3.peg.837|Calhy_0777	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.601	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1011	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.1010	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1896|Csac_1726	Protein of unknown function DUF541	1.0	Counter({'Protein of unknown function DUF541': 12})
fig|31899.10.peg.3092|SAMN05216182_2820	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.3011|SAMN05216182_2749	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.429|Csac_0371	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	1.0	Counter({'Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)': 2})
fig|351627.8.peg.448	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.449	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.585	Rhamnogalacturonan endolyase (EC 4.2.2.23)	1.0	Counter({'Rhamnogalacturonan endolyase (EC 4.2.2.23)': 1})
fig|351627.8.peg.197|Csac_0165	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.1776|CallaDRAFT_1710	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.446	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.447	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1529|CallaDRAFT_1471	Putative aldolase	1.0	Counter({'Putative aldolase': 11})
fig|351627.8.peg.1232|Csac_1096	Aldo/keto reductase, 4Fe-4S-containing, TM1183 family	1.0	Counter({'Aldo/keto reductase, 4Fe-4S-containing, TM1183 family': 2})
fig|632335.8.peg.2157	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1013	L-lactate dehydrogenase (EC 1.1.1.27)	1.0	Counter({'L-lactate dehydrogenase (EC 1.1.1.27)': 12})
fig|1387555.3.peg.1012	SSU ribosomal protein S20p	1.0	Counter({'SSU ribosomal protein S20p': 12})
fig|1387555.3.peg.1015	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632516.3.peg.181|CallaDRAFT_0182	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4) / Ribosomal protein S1 RNA-binding domain	1.0	Counter({'4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4) / Ribosomal protein S1 RNA-binding domain': 1})
fig|1387555.3.peg.1016	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1019	Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)	1.0	Counter({'Oligopeptide ABC transporter, ATP-binding protein OppD (TC 3.A.1.5.1)': 12})
fig|1387555.3.peg.1018	Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)	1.0	Counter({'Oligopeptide ABC transporter, permease protein OppC (TC 3.A.1.5.1)': 1})
fig|632516.3.peg.944|CallaDRAFT_0895	Carboxyl-terminal protease (EC 3.4.21.102)	1.0	Counter({'Carboxyl-terminal protease (EC 3.4.21.102)': 12})
fig|632518.3.peg.451|Calow_0404	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|608506.3.peg.271	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2152	Mobile element protein	1.0	Counter({'Mobile element protein': 2})
fig|608506.3.peg.277	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.361	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2126	putative lipoprotein	1.0	Counter({'putative lipoprotein': 6})
fig|1387557.3.peg.2127	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|1387557.3.peg.2128	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2129	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2799|Calkr_2551	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.48|COB47_0046	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387557.3.peg.1290	3'-to-5' oligoribonuclease A, Bacillus type	1.0	Counter({"3'-to-5' oligoribonuclease A, Bacillus type": 12})
fig|31899.10.peg.1432|SAMN05216182_1232	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.2499|CallaDRAFT_2405	Efflux ABC transporter, ATP-binding protein	1.0	Counter({'Efflux ABC transporter, ATP-binding protein': 1})
fig|1214564.3.peg.340	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.553|Csac_0480	Transposase	1.0	Counter({'Transposase': 1})
fig|632335.8.peg.2007	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2005	Transposase	1.0	Counter({'Transposase': 1})
fig|632335.8.peg.2004	Putative transposase	1.0	Counter({'Putative transposase': 1})
fig|632335.8.peg.2009	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2008	Transposase, mutator type	1.0	Counter({'Transposase, mutator type': 1})
fig|608506.3.peg.118|COB47_0109	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.298	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.265|Csac_0226	Copper(I) chaperone CopZ	1.0	Counter({'Copper(I) chaperone CopZ': 3})
fig|1214564.3.peg.1049	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.272|Calkr_0227	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2381	Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family	1.0	Counter({'Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family': 12})
fig|1121259.3.peg.1111	alpha-L-arabinofuranosidase (EC 3.2.1.55)	1.0	Counter({'alpha-L-arabinofuranosidase (EC 3.2.1.55)': 2})
fig|1387555.3.peg.2383	Glycogen phosphorylase (EC 2.4.1.1)	1.0	Counter({'Glycogen phosphorylase (EC 2.4.1.1)': 12})
fig|1214564.3.peg.124	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2386	lipolytic enzyme, G-D-S-L family	0.833333333333	Counter({'lipolytic enzyme, G-D-S-L family': 10, 'lipase/acylhydrolase family protein': 2})
fig|1387555.3.peg.2387	ROK family protein (putative glucokinase)	1.0	Counter({'ROK family protein (putative glucokinase)': 11})
fig|1387555.3.peg.2389	Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)	1.0	Counter({'Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)': 11})
fig|632335.8.peg.213	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.744	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.215	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632516.3.peg.786	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1422	Flagellar biosynthesis protein FlhA	1.0	Counter({'Flagellar biosynthesis protein FlhA': 1})
fig|351627.8.peg.1423	Flagellar biosynthesis protein FlhA	1.0	Counter({'Flagellar biosynthesis protein FlhA': 1})
fig|632516.3.peg.798|CallaDRAFT_0767	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.435|SAMN05216182_0308	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	1.0	Counter({'dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)': 2})
fig|632518.3.peg.591|Calow_0538	Activator of (R)-2-hydroxyglutaryl-CoA dehydratase	1.0	Counter({'Activator of (R)-2-hydroxyglutaryl-CoA dehydratase': 12})
fig|608506.3.peg.1252|COB47_1155	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1567|Csac_1413	DnaD domain protein	1.0	Counter({'DnaD domain protein': 1})
fig|632335.8.peg.2263|Calkr_2092	hypothetical protein	0.666666666667	Counter({'hypothetical protein': 2, 'Veg protein': 1})
fig|632518.3.peg.1407|Calow_1322	Aminopeptidase	1.0	Counter({'Aminopeptidase': 12})
fig|632335.8.peg.9|Calkr_2645	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.1835	hypothetical protein	1.0	Counter({'hypothetical protein': 10})
fig|351627.8.peg.2742|Csac_2543	ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 1 (cluster 1, maltose/g3p/polyamine/iron)': 7})
fig|632348.3.peg.12	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2002	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2003	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2000	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2001	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2006	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.301|SAMN05216182_0188	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1214564.3.peg.2004	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.2005	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2211	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.2549	Transposase	1.0	Counter({'Transposase': 3})
fig|31899.10.peg.2548	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.2895	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2545	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.2547	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.2546	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.2541	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1214564.3.peg.93	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2543	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2542	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2732	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	1.0	Counter({'N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)': 1})
fig|31899.10.peg.496|SAMN05216182_0366	Lipoprotein-releasing system ATP-binding protein LolD	1.0	Counter({'Lipoprotein-releasing system ATP-binding protein LolD': 2})
fig|632348.3.peg.2340	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2343	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387557.3.peg.385	CRISPR-associated negative autoregulator Cas7/Cst2	1.0	Counter({'CRISPR-associated negative autoregulator Cas7/Cst2': 8})
fig|351627.8.peg.541|Csac_0468	Outer membrane lipoprotein-sorting protein	1.0	Counter({'Outer membrane lipoprotein-sorting protein': 2})
fig|1387557.3.peg.381	Transposase	1.0	Counter({'Transposase': 1})
fig|1387557.3.peg.380	Transposase	1.0	Counter({'Transposase': 1})
fig|1387557.3.peg.383	CRISPR-associated endoribonuclease Cas6	1.0	Counter({'CRISPR-associated endoribonuclease Cas6': 11})
fig|1387557.3.peg.382	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1652|Csac_1494	FIG00468656: hypothetical protein	0.5	Counter({'FIG00468656: hypothetical protein': 5, 'hypothetical protein': 5})
fig|608506.3.peg.2232	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|31899.10.peg.3108|SAMN05216182_2834	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.2231	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|632348.3.peg.2689|Calkro_2529	CRISPR-associated protein, Csm2 family	0.818181818182	Counter({'CRISPR-associated protein, Csm2 family': 9, 'hypothetical protein': 2})
fig|31899.10.peg.2093	ABC transporter related	1.0	Counter({'ABC transporter related': 1})
fig|632516.3.peg.1130|CallaDRAFT_1070	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2763	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2762	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.2627|SAMN05216182_2389	Putative oxidoreductase	1.0	Counter({'Putative oxidoreductase': 5})
fig|31899.10.peg.2094	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.1824|Calkr_1690	Flagellar hook-associated protein FlgK	1.0	Counter({'Flagellar hook-associated protein FlgK': 12})
fig|608506.3.peg.408|COB47_0363	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2695	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632292.3.peg.1163	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1833	Hydroxylamine reductase (EC 1.7.99.1)	1.0	Counter({'Hydroxylamine reductase (EC 1.7.99.1)': 1})
fig|1387555.3.peg.1832	Transposase	1.0	Counter({'Transposase': 1})
fig|1387555.3.peg.1831	Hydroxylamine reductase (EC 1.7.99.1)	1.0	Counter({'Hydroxylamine reductase (EC 1.7.99.1)': 1})
fig|1387555.3.peg.1835	Hcp transcriptional regulator HcpR (Crp/Fnr family)	1.0	Counter({'Hcp transcriptional regulator HcpR (Crp/Fnr family)': 12})
fig|1387555.3.peg.1838	SpoVS-related protein, type 4	1.0	Counter({'SpoVS-related protein, type 4': 12})
fig|608506.3.peg.470	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|608506.3.peg.475	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.185	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.479	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.77	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.187	Biotin carboxyl carrier protein of oxaloacetate decarboxylase; Biotin carboxyl carrier protein	0.777777777778	Counter({'Biotin carboxyl carrier protein of oxaloacetate decarboxylase; Biotin carboxyl carrier protein': 7, 'Biotin carboxyl carrier protein => methylmalonyl-CoA decarboxylase @ Biotin carboxyl carrier protein': 2})
fig|1214564.3.peg.1294	Allergen V5/Tpx-1 family protein	1.0	Counter({'Allergen V5/Tpx-1 family protein': 1})
fig|1214564.3.peg.1295	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.186	Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	1.0	Counter({'Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)': 9})
fig|608506.3.peg.1995|COB47_1864	Putative unsaturated glucuronyl hydrolase	1.0	Counter({'Putative unsaturated glucuronyl hydrolase': 1})
fig|632516.3.peg.2404|CallaDRAFT_2306	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.678|CallaDRAFT_0655	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.307|Csac_0265	Chitobiose ABC transporter, ATP-binding protein 2	0.6	Counter({'Chitobiose ABC transporter, ATP-binding protein 2': 3, 'Oligopeptide ABC transporter, ATP-binding protein OppF (TC 3.A.1.5.1)': 2})
fig|351627.8.peg.132|Csac_0109	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)	1.0	Counter({'Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)': 12})
fig|351627.8.peg.1309|Csac_1166	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
fig|1387557.3.peg.9	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1321|CallaDRAFT_1262	Glycosyl transferase, group 2 family	1.0	Counter({'Glycosyl transferase, group 2 family': 1})
fig|1387557.3.peg.1	1,4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320)	1.0	Counter({'1,4-beta-mannosyl-N-acetylglucosamine phosphorylase (EC 2.4.1.320)': 1})
fig|1387557.3.peg.2	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 2})
fig|1387557.3.peg.3	Transcriptional regulator, LacI family	1.0	Counter({'Transcriptional regulator, LacI family': 1})
fig|1387557.3.peg.4	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	1.0	Counter({'N-acylglucosamine 2-epimerase (EC 5.1.3.8)': 1})
fig|1387557.3.peg.5	N-acylglucosamine 2-epimerase (EC 5.1.3.8)	1.0	Counter({'N-acylglucosamine 2-epimerase (EC 5.1.3.8)': 1})
fig|1121259.3.peg.561	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1327	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632335.8.peg.1817|Calkr_1683	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|632335.8.peg.266|Calkr_0220	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2692	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632516.3.peg.1967|CallaDRAFT_1898	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.1088|Csac_0963	Stage V sporulation protein B	1.0	Counter({'Stage V sporulation protein B': 1})
fig|351627.8.peg.2341	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.2276|Calkr_2105	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.2348	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|351627.8.peg.2349	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|632518.3.peg.531|Calow_0479	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.1854|CallaDRAFT_1786	Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)	1.0	Counter({'Arginine decarboxylase (EC 4.1.1.19); Lysine decarboxylase (EC 4.1.1.18)': 11})
